,Optimal Height,Optimal Value,Scenario
922,[14. 14. 14. 14. 14. 14. 14.],19208691405.53917,2
923,[13. 13. 13. 13. 13. 13. 13.],16636561100.976301,2
924,[15. 15. 15. 15. 15. 15. 15.],21887928007.11331,2
925,[14. 14. 14. 14. 14. 14. 14.],17048607373.625734,2
926,[13. 13. 13. 13. 13. 13. 13.],15387092344.8109,2
927,[13. 13. 13. 13. 13. 13. 13.],14162062653.17617,2
928,[13. 13. 13. 13. 13. 13. 13.],14166175063.933172,2
929,[13. 13. 13. 13. 13. 13. 13.],12936462606.172962,2
930,[13. 13. 13. 13. 13. 13. 13.],13339380062.63676,2
931,[14. 14. 14. 14. 14. 14. 14.],18334527588.748386,2
932,[13. 13. 13. 13. 13. 13. 13.],13340719302.535414,2
933,[11. 11. 11. 11. 11. 11. 11.],6884386481.721503,2
934,[13. 13. 13. 13. 13. 13. 13.],14972814532.095568,2
935,[13. 13. 13. 13. 13. 13. 13.],13750508356.03308,2
936,[13. 13. 13. 13. 13. 13. 13.],15799370985.425865,2
937,[12. 12. 12. 12. 12. 12. 12.],11709612986.178598,2
938,[14. 14. 14. 14. 14. 14. 14.],17906789467.979973,2
939,[14. 14. 14. 14. 14. 14. 14.],17908625376.060143,2
940,[14. 14. 14. 14. 14. 14. 14.],18344554953.93615,2
941,[15. 15. 15. 15. 15. 15. 15.],23356176027.195507,2
942,[16. 16. 16. 16. 16. 16. 16.],28286545690.076374,2
943,[12. 12. 12. 12. 12. 12. 12.],8894359784.493023,2
944,[13. 13. 13. 13. 13. 13. 13.],16632290545.694118,2
945,[13. 13. 13. 13. 13. 13. 13.],15808655631.79479,2
946,[12. 12. 12. 12. 12. 12. 12.],10093284435.48696,2
947,[15. 15. 15. 15. 15. 15. 15.],25355324445.28095,2
948,[13. 13. 13. 13. 13. 13. 13.],13330742250.780794,2
949,[14. 14. 14. 14. 14. 14. 14.],17048932120.99313,2
950,[15. 15. 15. 15. 15. 15. 15.],22865758284.62283,2
951,[13. 13. 13. 13. 13. 13. 13.],16208261667.062689,2
952,[11. 11. 11. 11. 11. 11. 11.],8499097668.545334,2
953,[12. 12. 12. 12. 12. 12. 12.],10918348915.056711,2
954,[13. 13. 13. 13. 13. 13. 13.],14983047654.79437,2
955,[15. 15. 15. 15. 15. 15. 15.],24340160782.095856,2
956,[15. 15. 15. 15. 15. 15. 15.],25347561438.771564,2
957,[13. 13. 13. 13. 13. 13. 13.],16635521738.661198,2
958,[13. 13. 13. 13. 13. 13. 13.],15796504668.008623,2
959,[13. 13. 13. 13. 13. 13. 13.],16221644381.320395,2
960,[15. 15. 15. 15. 15. 15. 15.],21891172490.61523,2
961,[13. 13. 13. 13. 13. 13. 13.],14149323161.759642,2
962,[14. 14. 14. 14. 14. 14. 14.],17470153398.816563,2
963,[11. 11. 11. 11. 11. 11. 11.],7295878980.511082,2
964,[14. 14. 14. 14. 14. 14. 14.],19646805323.356625,2
965,[14. 14. 14. 14. 14. 14. 14.],20523787271.5837,2
966,[14. 14. 14. 14. 14. 14. 14.],17041464396.60083,2
967,[12. 12. 12. 12. 12. 12. 12.],11318362916.121134,2
968,[14. 14. 14. 14. 14. 14. 14.],18767647895.530457,2
969,[12. 12. 12. 12. 12. 12. 12.],11724275153.964907,2
970,[11. 11. 11. 11. 11. 11. 11.],8092240467.464111,2
971,[13. 13. 13. 13. 13. 13. 13.],14561131091.670225,2
972,[12. 12. 12. 12. 12. 12. 12.],9694834376.401634,2
973,[14. 14. 14. 14. 14. 14. 14.],19634143839.786713,2
974,[13. 13. 13. 13. 13. 13. 13.],13337695074.110954,2
975,[12. 12. 12. 12. 12. 12. 12.],11724453017.346199,2
976,[13. 13. 13. 13. 13. 13. 13.],16211660542.172379,2
977,[14. 14. 14. 14. 14. 14. 14.],18344450200.563835,2
978,[13. 13. 13. 13. 13. 13. 13.],13755202618.981268,2
979,[13. 13. 13. 13. 13. 13. 13.],15805197944.796583,2
980,[13. 13. 13. 13. 13. 13. 13.],16632741934.6832,2
981,[14. 14. 14. 14. 14. 14. 14.],18344445321.25078,2
982,[13. 13. 13. 13. 13. 13. 13.],16637878368.540476,2
983,[14. 14. 14. 14. 14. 14. 14.],17476334428.40683,2
984,[12. 12. 12. 12. 12. 12. 12.],12524720553.481937,2
985,[14. 14. 14. 14. 14. 14. 14.],20967032578.898876,2
986,[13. 13. 13. 13. 13. 13. 13.],14987139929.79029,2
987,[13. 13. 13. 13. 13. 13. 13.],14164795755.257061,2
988,[13. 13. 13. 13. 13. 13. 13.],15792239362.09497,2
989,[13. 13. 13. 13. 13. 13. 13.],14984604107.512207,2
990,[12. 12. 12. 12. 12. 12. 12.],12129702439.983744,2
991,[13. 13. 13. 13. 13. 13. 13.],15797463140.9965,2
992,[13. 13. 13. 13. 13. 13. 13.],17059019100.036528,2
993,[14. 14. 14. 14. 14. 14. 14.],19635088683.870857,2
994,[13. 13. 13. 13. 13. 13. 13.],14564007804.899628,2
995,[12. 12. 12. 12. 12. 12. 12.],9304332281.512848,2
996,[12. 12. 12. 12. 12. 12. 12.],10107413512.84844,2
997,[13. 13. 13. 13. 13. 13. 13.],15811413177.100334,2
998,[13. 13. 13. 13. 13. 13. 13.],16213837234.73903,2
999,[12. 12. 12. 12. 12. 12. 12.],8884738215.834383,2
1000,[13. 13. 13. 13. 13. 13. 13.],13754804861.772936,3
1001,[15. 15. 15. 15. 15. 15. 15.],21420956817.08078,3
1002,[13. 13. 13. 13. 13. 13. 13.],14157091903.157152,3
1003,[16. 16. 16. 16. 16. 16. 16.],30896831696.57337,3
1004,[12. 12. 12. 12. 12. 12. 12.],11716085842.958206,3
1005,[15. 15. 15. 15. 15. 15. 15.],26435256844.9095,3
1006,[12. 12. 12. 12. 12. 12. 12.],9701362201.36396,3
1007,[12. 12. 12. 12. 12. 12. 12.],9302055386.093672,3
1008,[13. 13. 13. 13. 13. 13. 13.],14149182600.173119,3
1009,[16. 16. 16. 16. 16. 16. 16.],31557695916.86591,3
1010,[15. 15. 15. 15. 15. 15. 15.],22861039938.02472,3
1011,[14. 14. 14. 14. 14. 14. 14.],20519703183.44419,3
1012,[14. 14. 14. 14. 14. 14. 14.],19631693852.34271,3
1013,[14. 14. 14. 14. 14. 14. 14.],17903444816.592407,3
1014,[13. 13. 13. 13. 13. 13. 13.],15805319051.269186,3
1015,[11. 11. 11. 11. 11. 11. 11.],6083982544.803031,3
1016,[14. 14. 14. 14. 14. 14. 14.],17897367865.135834,3
1017,[16. 16. 16. 16. 16. 16. 16.],28934827805.17753,3
1018,[15. 15. 15. 15. 15. 15. 15.],23846036610.40038,3
1019,[13. 13. 13. 13. 13. 13. 13.],12929298161.31427,3
1020,[11. 11. 11. 11. 11. 11. 11.],7696788778.71482,3
1021,[14. 14. 14. 14. 14. 14. 14.],19634290897.64799,3
1022,[15. 15. 15. 15. 15. 15. 15.],23348180636.84011,3
1023,[14. 14. 14. 14. 14. 14. 14.],17906674246.38558,3
1024,[12. 12. 12. 12. 12. 12. 12.],10497780788.001736,3
1025,[16. 16. 16. 16. 16. 16. 16.],30226823054.514263,3
1026,[13. 13. 13. 13. 13. 13. 13.],15381933908.552563,3
1027,[13. 13. 13. 13. 13. 13. 13.],14986590255.64303,3
1028,[14. 14. 14. 14. 14. 14. 14.],17476779616.207222,3
1029,[11. 11. 11. 11. 11. 11. 11.],6896531347.410706,3
1030,[15. 15. 15. 15. 15. 15. 15.],21895248709.99626,3
1031,[16. 16. 16. 16. 16. 16. 16.],27014486695.789314,3
1032,[15. 15. 15. 15. 15. 15. 15.],21418801417.81474,3
1033,[15. 15. 15. 15. 15. 15. 15.],25882559321.15209,3
1034,[14. 14. 14. 14. 14. 14. 14.],17899930569.156967,3
1035,[14. 14. 14. 14. 14. 14. 14.],19640159966.663635,3
1036,[13. 13. 13. 13. 13. 13. 13.],13343411627.961256,3
1037,[13. 13. 13. 13. 13. 13. 13.],16217234296.414099,3
