,Optimal Height,Optimal Value,Scenario
257,[11. 12. 14. 18. 18. 18. 18.],8040367265.467891,1
258,[10. 14. 15. 16. 18. 18. 21.],5397298366.722629,1
259,[11. 14. 14. 15. 16. 16. 22.],9172021488.169895,1
260,[10. 12. 12. 15. 22. 22. 22.],5958881813.383603,1
261,[10. 12. 16. 16. 16. 20. 20.],2700499071.5681005,1
262,[10. 14. 14. 18. 18. 18. 18.],4711547088.801276,1
263,[12. 13. 13. 16. 17. 17. 23.],10253617970.245756,1
264,[11. 17. 17. 18. 18. 18. 20.],6306141795.841668,1
265,[12. 13. 16. 16. 18. 19. 19.],9773741175.055088,1
266,[10. 12. 12. 16. 20. 20. 20.],4024526384.3980827,1
267,[11. 15. 15. 15. 15. 17. 20.],7768730722.550987,1
268,[12. 12. 14. 21. 21. 26. 26.],9490523458.473934,1
269,[12. 15. 15. 15. 16. 18. 18.],9412872012.667793,1
270,[ 9. 14. 15. 15. 16. 20. 20.],116885573.66573215,1
271,[11. 11. 13. 13. 20. 20. 21.],6867695250.920247,1
272,[12. 12. 16. 16. 16. 20. 26.],9619478193.896286,1
273,[12. 12. 12. 18. 18. 20. 20.],10646396129.478975,1
274,[11. 14. 14. 14. 17. 17. 28.],11364316161.140991,1
275,[10. 13. 13. 14. 14. 19. 19.],5385878329.3467245,1
276,[10. 11. 12. 15. 17. 17. 17.],4934490592.660777,1
277,[ 8. 12. 14. 14. 19. 19. 19.],-847895430.6218941,1
278,[11. 14. 14. 17. 19. 19. 19.],7038904744.289701,1
279,[10. 13. 15. 15. 15. 22. 24.],4308425326.868245,1
280,[11. 12. 15. 15. 15. 15. 19.],8372017822.938673,1
281,[10. 12. 15. 19. 19. 20. 20.],3706386755.505782,1
282,[11. 11. 11. 11. 15. 17. 17.],9058152805.711023,1
283,[10. 10. 11. 13. 13. 20. 20.],5088878134.307057,1
284,[10. 12. 13. 15. 15. 17. 22.],4666842606.658908,1
285,[ 9. 10. 15. 15. 19. 22. 22.],470484338.62150884,1
286,[11. 14. 14. 14. 20. 20. 24.],7518462815.400592,1
287,[11. 12. 12. 15. 15. 15. 22.],6097435483.286905,1
288,[ 9. 11. 16. 16. 16. 19. 20.],-527625159.90988886,1
289,[10. 12. 16. 16. 16. 20. 20.],5058748450.745118,1
290,[10. 13. 14. 15. 16. 16. 16.],5304259371.935199,1
291,[12. 12. 12. 14. 15. 15. 20.],9411887994.604317,1
292,[12. 13. 15. 15. 15. 15. 18.],9765288711.314945,1
293,[12. 12. 14. 17. 17. 18. 21.],11230643758.700686,1
294,[12. 12. 12. 16. 18. 19. 19.],10170242582.44358,1
295,[12. 12. 13. 13. 14. 18. 24.],12451389699.63901,1
296,[12. 12. 14. 18. 18. 21. 21.],11996322159.011435,1
297,[12. 12. 15. 15. 15. 17. 17.],10830462063.78965,1
298,[ 9. 12. 14. 15. 17. 17. 18.],1651053448.3023677,1
299,[11. 11. 12. 13. 16. 18. 22.],8008911723.459324,1
300,[11. 12. 12. 16. 16. 20. 20.],6012684582.203229,1
301,[12. 12. 17. 17. 17. 17. 25.],11409725218.532732,1
302,[12. 12. 15. 15. 15. 19. 19.],10170635657.872686,1
303,[11. 11. 12. 14. 16. 16. 19.],8677821319.510885,1
304,[12. 12. 12. 12. 17. 19. 28.],10776440211.539787,1
305,[13. 13. 13. 15. 17. 20. 21.],14731524716.43534,1
306,[ 9. 12. 13. 16. 19. 19. 22.],2316444064.999697,1
307,[10. 12. 15. 16. 18. 18. 18.],3678775523.949796,1
308,[10. 10. 10. 13. 18. 18. 18.],3335758973.622462,1
309,[11. 14. 14. 16. 16. 18. 18.],6645488020.203225,1
310,[10. 13. 14. 14. 15. 21. 26.],4478791942.753283,1
311,[12. 12. 16. 18. 21. 21. 21.],12377917610.092793,1
312,[11. 13. 14. 15. 20. 20. 20.],8424577815.023143,1
313,[12. 12. 14. 15. 17. 17. 17.],11914637523.103664,1
314,[11. 14. 14. 19. 19. 19. 19.],8464005525.488374,1
315,[12. 12. 13. 13. 17. 17. 25.],10060897996.62036,1
316,[ 9. 12. 16. 16. 16. 16. 16.],2357942270.3198977,1
317,[11. 13. 14. 14. 19. 19. 23.],6068719778.844484,1
318,[10. 12. 13. 18. 18. 18. 18.],5457474085.3605795,1
319,[12. 13. 14. 14. 14. 20. 21.],9453885426.097641,1
320,[12. 13. 14. 16. 18. 18. 20.],10821030500.912453,1
321,[11. 11. 16. 18. 18. 19. 19.],8852271969.942963,1
322,[11. 14. 14. 14. 14. 18. 19.],7707915124.899329,1
323,[ 9. 14. 14. 16. 16. 16. 19.],1766369342.9804404,1
324,[10. 11. 15. 15. 15. 16. 18.],4980657842.560523,1
