,Optimal Height,Optimal Value,Scenario
297,[20. 20. 20. 20. 20. 20. 20.],29380016924.810993,1
298,[17. 17. 17. 17. 26. 26. 26.],13833144871.559908,1
299,[19. 19. 19. 19. 24. 24. 24.],24547909288.425148,1
300,[19. 19. 19. 24. 24. 24. 24.],21120969677.432884,1
301,[20. 20. 20. 25. 25. 25. 25.],28817636790.98937,1
302,[20. 20. 20. 22. 22. 22. 22.],28151558305.20155,1
303,[19. 19. 19. 19. 24. 24. 24.],25744211797.116417,1
304,[20. 20. 20. 20. 20. 20. 28.],27084768554.892643,1
305,[21. 21. 21. 23. 23. 23. 23.],36001106519.977776,1
306,[18. 18. 18. 18. 27. 27. 27.],14968690100.682384,1
307,[18. 18. 18. 18. 27. 27. 27.],17231107313.043747,1
308,[18. 18. 18. 18. 26. 26. 26.],16621353200.425797,1
309,[19. 19. 19. 24. 24. 24. 24.],22268059242.0921,1
310,[18. 18. 18. 18. 23. 23. 23.],18262963760.75326,1
311,[20. 20. 20. 20. 29. 29. 29.],31978980980.954475,1
312,[19. 19. 19. 19. 28. 28. 28.],25272906786.362602,1
313,[21. 21. 21. 23. 23. 23. 23.],31244590251.388855,1
314,[20. 20. 20. 27. 27. 27. 27.],25238821647.43004,1
315,[20. 20. 20. 21. 21. 21. 21.],26316338104.797195,1
316,[18. 18. 18. 18. 18. 18. 18.],14807106301.123865,1
317,[19. 19. 19. 19. 27. 27. 27.],21199100786.548153,1
318,[19. 19. 19. 27. 27. 27. 27.],20046316568.53958,1
319,[20. 20. 20. 21. 21. 21. 21.],26920806446.93003,1
320,[20. 20. 20. 24. 24. 24. 24.],29410812007.01549,1
321,[20. 20. 20. 26. 26. 26. 26.],25810842612.421154,1
322,[19. 19. 19. 19. 19. 19. 19.],23956137415.17914,1
323,[17. 17. 17. 17. 24. 24. 24.],13789582329.56949,1
324,[18. 18. 18. 18. 24. 24. 24.],19397719625.199986,1
325,[19. 19. 19. 19. 23. 23. 23.],21658539021.98467,1
326,[20. 20. 20. 20. 28. 28. 28.],28838565245.284386,1
327,[19. 19. 19. 22. 22. 22. 22.],21665101707.082355,1
328,[20. 20. 20. 26. 26. 26. 26.],29466953742.362244,1
329,[19. 19. 19. 25. 25. 25. 25.],20000499120.983513,1
330,[19. 19. 19. 25. 25. 25. 25.],21744975390.239807,1
331,[19. 19. 19. 28. 28. 28. 28.],19531831161.95092,1
332,[18. 18. 18. 18. 26. 26. 26.],16078238870.891964,1
333,[17. 17. 17. 17. 25. 25. 25.],11549343927.770658,1
334,[18. 18. 18. 18. 18. 32. 32.],20189132614.722424,1
335,[20. 20. 20. 24. 24. 24. 24.],28804963252.174072,1
336,[20. 20. 20. 26. 26. 26. 26.],30695021602.98805,1
337,[21. 21. 21. 21. 21. 21. 21.],31880637001.123405,1
338,[20. 20. 20. 24. 24. 24. 24.],26954694670.583717,1
339,[18. 18. 18. 18. 25. 25. 25.],16027591259.733492,1
340,[19. 19. 19. 24. 24. 24. 24.],22862840212.73492,1
341,[18. 18. 18. 18. 27. 27. 27.],18388903575.273838,1
342,[20. 20. 20. 25. 25. 25. 25.],26989818248.596527,1
343,[20. 20. 20. 25. 25. 25. 25.],29423991145.035744,1
344,[20. 20. 20. 25. 25. 25. 25.],28802818190.338478,1
345,[18. 18. 18. 18. 31. 31. 31.],19260465357.268368,1
346,[20. 20. 20. 30. 30. 30. 30.],25997515327.060097,1
347,[18. 18. 18. 18. 28. 28. 28.],16132216049.39557,1
348,[17. 17. 17. 17. 22. 22. 22.],13734115360.855751,1
349,[19. 19. 19. 21. 21. 21. 21.],22218505386.846767,1
350,[19. 19. 19. 19. 30. 30. 30.],23637959810.635654,1
351,[18. 18. 18. 25. 25. 25. 25.],18313010343.62991,1
352,[18. 18. 18. 18. 18. 32. 32.],21456211921.00291,1
353,[19. 19. 19. 19. 26. 26. 26.],25176643320.819904,1
354,[18. 18. 18. 18. 26. 26. 26.],17776790382.88771,1
355,[19. 19. 19. 26. 26. 26. 26.],20020444026.82989,1
356,[19. 19. 19. 19. 27. 27. 27.],22905759368.329975,1
357,[19. 19. 19. 19. 34. 34. 34.],23672184843.18509,1
358,[20. 20. 20. 20. 20. 20. 20.],26325385398.942562,1
359,[18. 18. 18. 24. 24. 24. 24.],17136231736.865383,1
360,[21. 21. 21. 24. 24. 24. 24.],31905149942.126827,1
361,[20. 20. 20. 20. 20. 20. 20.],25729596251.63545,1
362,[20. 20. 20. 24. 24. 24. 24.],30036779536.157955,1
363,[19. 19. 19. 19. 23. 23. 23.],22248627721.87269,1
364,[17. 17. 17. 17. 30. 30. 30.],14249187037.764841,1
365,[19. 19. 19. 24. 24. 24. 24.],22275899355.321724,1
366,[18. 18. 18. 18. 29. 29. 29.],19610198400.43539,1
367,[18. 18. 18. 18. 27. 27. 27.],17830762766.246273,1
368,[20. 20. 20. 22. 22. 22. 22.],29988153215.485676,1
369,[20. 20. 20. 29. 29. 29. 29.],30204657429.59877,1
370,[19. 19. 19. 19. 25. 25. 25.],22848883957.00584,1
371,[19. 19. 19. 22. 22. 22. 22.],21068002838.17197,1
372,[19. 19. 19. 19. 25. 25. 25.],23995043012.71542,1
373,[18. 18. 18. 18. 25. 25. 25.],14888704539.998882,1
374,[21. 21. 21. 26. 26. 26. 26.],31925019886.10919,1
375,[20. 20. 20. 24. 24. 24. 24.],30644779916.676533,1
376,[18. 18. 18. 27. 27. 27. 27.],17252447463.01746,1
377,[18. 18. 18. 18. 28. 28. 28.],15563095779.070732,1
378,[18. 18. 18. 18. 27. 27. 27.],18374400390.58361,1
379,[19. 19. 19. 19. 23. 23. 23.],22811003751.88958,1
380,[21. 21. 21. 21. 21. 21. 21.],33905586624.69853,1
381,[19. 19. 19. 25. 25. 25. 25.],20573286653.240417,1
382,[19. 19. 19. 19. 23. 23. 23.],21079634430.32183,1
383,[19. 19. 19. 22. 22. 22. 22.],23388657249.03142,1
384,[18. 18. 18. 18. 19. 19. 19.],18788952205.215588,1
385,[18. 18. 18. 18. 24. 24. 24.],15441256715.520006,1
386,[18. 18. 18. 18. 19. 19. 19.],18216112997.303833,1
387,[17. 17. 17. 17. 28. 28. 28.],13935911386.491661,1
388,[21. 21. 21. 24. 24. 24. 24.],33247792407.993973,1
389,[19. 19. 19. 25. 25. 25. 25.],19976877532.38679,1
390,[19. 19. 19. 21. 21. 21. 21.],22223905885.227844,1
391,[19. 19. 19. 19. 27. 27. 27.],23470960885.054394,1
392,[20. 20. 20. 20. 20. 20. 20.],29375785754.02033,1
393,[19. 19. 19. 23. 23. 23. 23.],23406832978.20976,1
394,[21. 21. 21. 25. 25. 25. 25.],33956987737.30582,1
395,[19. 19. 19. 22. 22. 22. 22.],22247011305.191814,1
396,[18. 18. 18. 18. 27. 27. 27.],19510458827.023365,1
397,[19. 19. 19. 23. 23. 23. 23.],21666669927.422073,1
398,[18. 18. 18. 26. 26. 26. 26.],17213076139.748726,1
399,[21. 21. 21. 26. 26. 26. 26.],31935647587.45848,1
400,[20. 20. 20. 24. 24. 24. 24.],26352501846.321346,1
401,[19. 19. 19. 19. 28. 28. 28.],24666261447.656826,1
402,[19. 19. 19. 19. 25. 25. 25.],25164607004.22434,1
403,[20. 20. 20. 20. 32. 32. 32.],29657517619.338493,1
404,[19. 19. 19. 22. 22. 22. 22.],24550943468.918736,1
405,[18. 18. 18. 18. 27. 27. 27.],16693404871.319618,1
406,[20. 20. 20. 20. 27. 27. 27.],27567816849.276867,1
407,[20. 20. 20. 27. 27. 27. 27.],30122950528.96969,1
